title_employees;title_adventureworks
Assistant Engineer;Assistant to the Chief Financial Officer
Assistant Engineer;Design Engineer
Assistant Engineer;Engineering Manager
Engineer;Engineering Manager
Assistant Engineer;Facilities Manager
Assistant Engineer;Finance Manager
Assistant Engineer;Maintenance Supervisor
Manager;Marketing Assistant
Assistant Engineer;Marketing Manager
Manager;Marketing Manager
Manager;Marketing Specialist
Manager;Master Scheduler
Assistant Engineer;Pacific Sales Manager
Assistant Engineer;Sales Representative
Assistant Engineer;Senior Design Engineer
Assistant Engineer;Senior Tool Designer
Senior Engineer;Senior Tool Designer
